Date;Price
03/06/2025;51.33
03/05/2025;52.75
03/04/2025;51.83
03/03/2025;52.26
02/28/2025;52.34
02/27/2025;52.28
02/26/2025;53.25
02/25/2025;53.83
02/24/2025;53.29
02/21/2025;53.33
02/20/2025;51.84
02/19/2025;51.83
02/18/2025;52.79
02/17/2025;53.81
02/14/2025;53.82
02/13/2025;54.85
02/12/2025;55.31
02/11/2025;55.32
02/10/2025;55.82
02/07/2025;55.81
02/06/2025;57.30
02/05/2025;57.31
02/04/2025;57.29
02/03/2025;56.80
01/31/2025;57.29
01/30/2025;56.83
01/29/2025;57.82
01/28/2025;58.28
01/27/2025;57.83
01/24/2025;57.83
01/23/2025;57.81
01/22/2025;58.29
01/21/2025;58.37
01/20/2025;58.30
01/17/2025;59.30
01/16/2025;59.79
01/15/2025;60.30
01/14/2025;61.80
01/13/2025;60.76
01/10/2025;60.29
01/09/2025;59.81
01/08/2025;59.31
01/07/2025;59.80
01/06/2025;60.78
01/03/2025;60.80
01/02/2025;60.78
01/01/2025;60.79
12/31/2024;60.32
12/30/2024;60.31
12/27/2024;60.30
12/26/2024;60.28
12/25/2024;60.31
12/24/2024;60.32
12/23/2024;60.31
12/20/2024;60.31
12/19/2024;58.80
12/18/2024;58.82
12/17/2024;57.81
12/16/2024;57.32
12/13/2024;57.32
12/12/2024;56.32
12/11/2024;56.31
12/10/2024;56.35
12/09/2024;56.34
12/06/2024;57.32
12/05/2024;58.81
12/04/2024;59.32
12/03/2024;60.31
12/02/2024;61.77
11/29/2024;61.81
11/28/2024;61.80
11/27/2024;60.33
11/26/2024;59.81
11/25/2024;59.87
11/22/2024;59.83
11/21/2024;58.34
11/20/2024;58.33
11/19/2024;56.87
11/18/2024;57.36
11/15/2024;57.34
11/14/2024;57.31
11/13/2024;58.34
11/12/2024;57.31
11/11/2024;59.31
11/08/2024;59.83
11/07/2024;61.32
11/06/2024;58.26
11/05/2024;58.34
11/04/2024;58.89
11/01/2024;58.82
10/31/2024;57.84
10/30/2024;56.38
10/29/2024;56.33
10/28/2024;56.33
10/25/2024;56.38
10/24/2024;56.88
10/23/2024;57.33
10/22/2024;58.34
10/21/2024;56.36
10/18/2024;56.87
10/17/2024;57.84
10/16/2024;57.85
10/15/2024;58.35
10/14/2024;59.88
10/11/2024;59.88
10/10/2024;61.37
10/09/2024;63.12
10/08/2024;61.88
10/07/2024;61.84
10/04/2024;62.85
10/03/2024;62.85
10/02/2024;62.85
10/01/2024;62.84
09/30/2024;62.84
09/27/2024;63.34
09/26/2024;64.34
09/25/2024;64.33
09/24/2024;63.83
09/23/2024;63.83
09/20/2024;64.71
09/19/2024;58.82
09/18/2024;58.82
09/17/2024;58.81
09/16/2024;59.33
09/13/2024;60.36
09/12/2024;61.29
09/11/2024;61.82
09/10/2024;61.79
09/09/2024;60.78
09/06/2024;60.81
09/05/2024;61.30
09/04/2024;62.30
09/03/2024;64.35
09/02/2024;63.28
08/30/2024;63.78
08/29/2024;63.79
08/28/2024;63.29
08/27/2024;64.29
08/26/2024;64.31
08/23/2024;64.37
08/22/2024;64.29
08/21/2024;63.80
08/20/2024;65.28
08/19/2024;65.28
08/16/2024;65.30
08/15/2024;67.77
08/14/2024;67.76
08/13/2024;67.77
08/12/2024;70.24
08/09/2024;70.26
08/08/2024;71.27
08/07/2024;74.18
08/06/2024;75.16
08/05/2024;72.25
08/02/2024;68.27
08/01/2024;65.27
07/31/2024;65.27
07/30/2024;65.27
07/29/2024;65.30
07/26/2024;65.78
07/25/2024;64.32
07/24/2024;62.31
07/23/2024;62.33
07/22/2024;62.32
07/19/2024;62.30
07/18/2024;62.30
07/17/2024;62.34
07/16/2024;62.33
07/15/2024;62.79
07/12/2024;63.79
07/11/2024;64.81
07/10/2024;66.80
07/09/2024;65.82
07/08/2024;68.28
07/05/2024;70.28
07/04/2024;71.27
07/03/2024;73.74
07/02/2024;75.25
07/01/2024;78.21
06/28/2024;77.20
06/27/2024;76.21
06/26/2024;74.22
06/25/2024;74.24
06/24/2024;76.22
06/21/2024;76.21
06/20/2024;74.22
06/19/2024;73.24
06/18/2024;79.18
06/17/2024;80.15
06/14/2024;66.21
06/13/2024;96.72
06/12/2024;70.23
06/11/2024;64.79
06/10/2024;61.79
06/07/2024;61.79
06/06/2024;61.79
06/05/2024;61.79
06/04/2024;61.30
06/03/2024;62.80
05/31/2024;88.94
05/30/2024;88.95
05/29/2024;62.27
05/28/2024;62.30
05/27/2024;62.30
05/24/2024;62.31
05/23/2024;61.31
05/22/2024;61.31
05/21/2024;62.75
05/20/2024;62.31
05/17/2024;62.33
05/16/2024;62.34
05/15/2024;43.91
05/14/2024;62.33
05/13/2024;61.84
05/10/2024;61.83
05/09/2024;61.82
05/08/2024;61.82
